url,vehicle,rescue_sheet,advanced_ecall,multi_collision_brake,submergence_check,system_name,type,operational_from,speed_limit_information_function,speed_control_function,applies_to,fatigue,emergency_lane_keeping,lane_keep_assist,human_machine_interface,sensor_used,distraction,impairment,additional_information,avoidance,warning_function,speed_limitation_function,warning,lka_confirmation_test,ldw_confirmation_test,variant
https://www.euroncap.com/en/results/audi/a6+e-tron/54308,Audi A6 e-tron,"Available, ISO compliant",Available,Available,Compliant,Active Front Assist,Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,Drowsiness,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/xpeng/g9/50198,XPENG G9,"Available, ISO compliant",Available,Available,Non-compliant,Forward Collision Warning,Autonomous emergency braking and forward collision warning,4 km/h,"Camera & Map, subsigns supported",Intelligent ACC (accurate to 5km/h),Front and rear seats,Drowsiness and Sleep,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/toyota/rav4/35881,Toyota RAV4,,,,,Pre-Collision System as part of Toyota Safety Sense,Autonomous Emergency Braking and Forward Collision Warning,10 km/h,Camera based,System advised (accurate to 5km/h),Not available,,,Good,Adequate,,,,,,,,,,,
https://www.euroncap.com/en/results/ssangyong/xlv/25756,SsangYong XLV,,,,,AEBS/FCW,Forward Collision Warning with Auto-Brake,8 km/h,,,All seats,,,,,,,,Default On,Mitigation,,,,,,
https://www.euroncap.com/en/results/jeep/renegade/39123,Jeep Renegade,,,,,Lane Departure Warning Plus,LKA (including LDW),60 km/h,Camera based,System advised (accurate to 5km/h),All Seats,,,Good,Adequate,,,,,,,,,,,
https://www.euroncap.com/en/results/ds/4/45659,DS 4,"Available, ISO compliant",Available as an option,Available,,Emergency Safety Brake,Autonomous emergency braking and forward collision warning,5 km/h,"Camera based, subsigns supported",System advised (accurate to 5km/h),Front and rear seats,,Good,Good,Good,camera,,,,,,,,,,
https://www.euroncap.com/en/results/honda/hr-v/45661,Honda HR-V,"Available, ISO compliant",Available,Not available,,Collision Mitigation Braking System,Autonomous emergency braking and forward collision warning,5 km/h,"Camera based, subsigns supported",System advised (accurate to 5km/h),Front and rear seats,,Good,Good,Good,camera,,,,,,,,,,
https://www.euroncap.com/en/results/honda/civic/29192,Honda Civic (reassessment),,,,,Collision Mitigation Brake System,Forward Collision Warning with Auto-Brake,5 km/h,"Camera based, subsigns supported",,All seats,,,,,,,,Default On,Mitigation,System advised,System advised (accurate to 10km/h),Audible,Pass (5/5),Pass,
https://www.euroncap.com/en/results/kia/stonic/29604,Kia Stonic,,,,,,,,,,All seats,,,,,,,,,,,,,,,
https://www.euroncap.com/en/results/ford/puma/48749,Ford Puma,"Available, ISO compliant",Not available,Available,,Pre-Collision Assist,Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",System advised (accurate to 5km/h),Front and rear seats,,Good,Good,Good,camera,,,,,,,,,,
https://www.euroncap.com/en/results/genesis/g80/42794,Genesis G80,"Available, ISO compliant",Available,Available,,Forward Collision Avoidance (FCA),Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",System advised (accurate to 5km/h),"Front and rear seats, including third row",,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/genesis/gv70/44200,Genesis GV70,"Available, ISO compliant",Available,Available,,Forward Collision-Avoidance Assist,Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",System advised (accurate to 5km/h),Front and rear seats,,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/bmw/x2/51929,BMW X2,"Available, ISO compliant",Available,Available,,Collision Warning with Braking Function,Autonomous emergency braking and forward collision warning,5 km/h,"Camera & Map, subsigns supported",System advised (accurate to 5km/h),Front and rear seats,,Good,Good,Good,camera only,,,,,,,,,,
https://www.euroncap.com/en/results/tesla/model+s/47760,Tesla Model S,"Available, ISO compliant",Available,Available,,Auto-Brake with Forward Collision Warning,Autonomous emergency braking and forward collision warning,8 km/h,"Camera & Map, subsigns supported",System advised (accurate to 5km/h),Front and rear seats,,Good,Good,Good,camera and radar,,,,,,,,,,
https://www.euroncap.com/en/results/toyota/proace+city/40219,Toyota PROACE CITY,,,,,Pre-Collision System,Autonomous Emergency Braking and Forward Collision Warning,5 km/h,Camera based,System advised (accurate to 5km/h),Not available,,Good,Good,Adequate,,,,,,,,,,,
https://www.euroncap.com/en/results/audi/a7/38530,Audi A7,,,,,Audi Pre-Sense Front,Autonomous Emergency Braking and Forward Collision Warning,10 km/h,N/A (option),Manually set (accurate to 5km/h),Not available,,Adequate,Good,Adequate,,,,Supplementary warning and Restraint activation,,,,,,,
https://www.euroncap.com/en/results/audi/q3/34189,Audi Q3,,,,,Audi Pre Sense Front,Autonomous Emergency Braking and Forward Collision Warning,5 km/h,N/A,Manually set (accurate to 5km/h),Not available,,Good,Good,Good,,,,Supplementary warning and Restraint activation,,,,,,,
https://www.euroncap.com/en/results/bmw/x5/34190,BMW X5,,,,,Front-end collision warning with braking function,Autonomous Emergency Braking and Forward Collision Warning,5 km/h,Camera & Map,System advised (accurate to 5km/h),Not available,,Poor,Good,Adequate,,,,Supplementary warning,,,,,,,
https://www.euroncap.com/en/results/hyundai/santa+fe/34195,Hyundai Santa Fe,,,,,Forward Collision-avoidance Assist (FCA),Autonomous Emergency Braking and Forward Collision Warning,10 km/h,N/A,Manually set (accurate to 5km/h),Not available,,Good,Good,Adequate,,,,,,,,,,,
https://www.euroncap.com/en/results/jaguar/i-pace/34193,Jaguar I Pace,,,,,Emergency Braking,Autonomous Emergency Braking and Forward Collision Warning,5 km/h,Camera & Map,System advised (accurate to 5km/h),Not available,,Adequate,Good,Adequate,,,,Supplementary warning,,,,,,,
